,기입날짜,별점,옵션,후기,sentiment,
61,20.09.29.,1,모델: 1.에어팟 1/2세대 / 옵션: 01-닌텐도 스위치,좋지만 비쌉니다 비싸요,0,
62,20.09.18.,1,모델: 1.에어팟 1/2세대 / 옵션: 11-코카콜라,철가루 방지 스티커샀는데 붙이면 닫히지가않아서 다시 떼버렸어요 일부러 같이 파는곳 찾아서 산건데 많이 아쉬운 부분이네요,0,
63,20.09.17.,1,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,환불은 못하는데 닌텐도 스위치 샀는데 위에 뚜껑이 심하게 헐렁해ㅔ서 착용을 못합니다,0,
64,20.09.13.,1,모델: 1.에어팟 1/2세대 / 옵션: 11-코카콜라,철가루 방지 스티커가 찢어지고 잘 달라 붙지가 않아요,0,
65,20.09.04.,1,모델: 1.에어팟 1/2세대 / 옵션: 09-스타벅스 라떼,"상품 질은 최고
사은품은 누락되서 재배송되었고, 재배송에도 결국 사은품 1개는 못받음
일부러 2개 구매한 의미가 없어짐",0,
66,20.08.25.,1,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,이정도면 불량 아닌가요..너무 눈에 띄네요,0,
67,20.08.13.,1,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,"배송느립니다..
..
..",0,
68,20.07.09.,1,모델: 1.에어팟 1/2세대 / 옵션: 10-프렌치불독 블랙,엄청 잘 찢어져요..약해요 일주일쓰고 뜯어져서 버렸어요,0,
69,20.06.17.,1,모델: 2.에어팟 프로 / 옵션: 프로03-핸드폰,그냥그래요 흠중국산,0,
70,20.04.22.,1,모델: 1.에어팟 1/2세대 / 옵션: 01-닌텐도 스위치,고리바로뿌러짐... 이렇게 약해도되나요,0,
71,23.04.11.,2,모델: 에어팟 프로/프로2 / 옵션: 프로31-쿠키베어,"음,,상품 설명과 전혀 다른 색의
쿠키네요,,,",0,
72,22.10.03.,2,모델: 에어팟 1/2세대+카라비너 / 옵션: 02-투슬리스 화이트 캐릭터,"에어팟을처음구매하고케이스가없어서검색후
눈에띄어 일단구매한건대 
중국산인게맘에걸렸지만 섷마전자제품도아닌
간단한케이스를잘못만들어팔까하고 구매했는대
투케이스크기가에어팟과잘안맞더라구요
몸통도,머리도..어떻게들어가도 빼기빡센...",0,
73,22.08.09.,2,모델: 에어팟 1/2세대+카라비너 / 옵션: 41-테디도그 브라운,왜 화이트보다 브라운 사이즈가 큰가요? 선물용이라 배송 후 3일 뒤에 착용했는데 화이트보다 사이즈가 크고 붕 뜨고 쉽게 빠지고 사이즈 자체가 맞질 않습니다. 선물해줬는데 난처한 상황이 됐습니다. 제것만 불량인건지 원래 그렇게 나온건가요?,0,
74,22.07.01.,2,모델: 에어팟 1/2세대 공용 / 옵션: 07-푸들,아 디자인 너무 이쁜데.... 사이즈 불량인지   뚜껑열린 푸들돼서  최악 ㅜ 불량교환하려다가 진짜 ...왜 내가 수고스러워야되나 싶고 귀찮아서 관둠,0,
75,22.03.21.,2,모델: 에어팟 1/2세대용 / 옵션: 48-꼬꼬 화이트,하루사용햇는데 더러워지는거 실화인가요,0,
76,22.01.26.,2,모델: 1.에어팟 프로 / 옵션: 프로09-스팸,엄청난 불량을 받아버렸따!!!묵직한거야 늘 가방에 두고 다니니까 별 신경안쓰는데 ㅠㅠㅠ 이건 c급 중고산거같은 기분을 들게하네룜 교환 해주시겠죠?,0,
77,21.11.30.,2,모델: 1.에어팟 프로 / 옵션: 프로10-스팸,스팸은 틈새가 너무 벌어져있고 스피커는 냄새가 너무 심해서 못쓰고 있어요(잠깐 끼웠는데 에어팟에도 냄새가 베어서ㅠㅠ) 결국 사은품으로 온 케이스 쓰고 있네요...중국 대량생산 제품이라 그런지 퀄리티가 좋은편은 아니에요🥲 그냥 기본형 살걸 그랬나봐요..ㅎㅎ,0,
78,21.11.30.,2,모델: 1.에어팟 프로 / 옵션: 프로03-마샬스피커,스팸은 틈새가 너무 벌어져있고 스피커는 냄새가 너무 심해서 못쓰고 있어요(잠깐 끼웠는데 에어팟에도 냄새가 베어서ㅠㅠ) 결국 사은품으로 온 케이스 쓰고 있네요...중국 대량생산 제품이라 그런지 퀄리티가 좋은편은 아니에요🥲 그냥 기본형 살걸 그랬나봐요..ㅎㅎ,0,
79,21.11.24.,2,,"코카콜라 케이스를 구매하였습니다.
다만, 실제 색상과 차이가 많이 나서 아쉬움이 있네요.",0,
80,21.11.03.,2,모델: 1.에어팟 프로 / 옵션: 프로02-마샬스피커,"생각보다 좀 딱딱하고 제껀 뚜껑이 휘어져왓어요,, ㅠㅠ",0,
81,21.11.01.,2,모델: 1.에어팟 프로 / 옵션: 프로15-스키틀즈,"고무라 무거워서 짐이 됩니다. 예쁜 쓰레기였어요. 
예쁜데 무거워서 잘 안들고 다녀서 새로 샀어요.",0,
82,21.10.10.,2,모델: 1.에어팟 프로 / 옵션: 프로10-스팸,"디자인은 진짜 스팸같아서 특이하고 귀여운데, 진짜 너ㅓㅓㅓ무 무거워요.... 두꺼워서 에어팟 크기도 커지고 케이스 끼면 에어팟 두개 무게는 거뜬히 넘는 것 같아요ㅠㅠ 무거운 케이스는 무겁다고 명시해주시면 좋을 것 같아요... 그냥 관상용이 되었네요",0,
83,21.08.17.,2,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도스위치,사이즈가 제멋대로에요,0,
84,21.08.17.,2,모델: 2.에어팟 프로 / 옵션: 프로02-마샬스피커,사이즈가 제멋대로네요,0,
85,21.08.09.,2,모델: 1.에어팟 프로 / 옵션: 프로02-마샬스피커,퀄리티가 너무 많이 떨어져요ㅠ,0,
86,21.08.05.,2,모델: 2.에어팟 1／2세대 / 옵션: 12-밀키 레드,"배송진짜 빨라요.사은품도
주시고",1,
87,21.08.04.,2,모델: 1.에어팟 1／2세대 / 옵션: 01-닌텐도스위치,크기가 약간 남아서 좀 아쉽네요. 이거빼곤 만족.,0,
88,21.07.08.,2,모델: 1.에어팟 1／2세대 / 옵션: 26-버블티,이 친구도 귀여운데요 사지 마세요 너무 뻑뻑해서 끼우면 나오지를 않아용 얘도 젤리랑 마찬가지로 껴 보면... 좀 그래요 그냥 눈으로만 보세요 ㅅr지 ㅁr,0,
89,21.06.14.,2,모델: 2.에어팟 프로 / 옵션: 프로12-존슨즈로션,좀 무겁네요~ 부피도 좀 있어요-,0,
90,21.05.25.,2,모델: 1.에어팟 1／2세대 / 옵션: 20-미국햄,크기가 너무 커서 사용을 안하게 되네요 무겁기도 하고 뚜껑이랑 본체랑 틈도 너무 크고...,0,
91,21.05.04.,2,,붇이기 힘듭니다.망쳤어요,0,
92,21.04.28.,2,모델: 2.에어팟 프로 / 옵션: 프로10-스팸,이쁘긴한데 산지 하루도 안됫는데 윗부분이 너무 잘벗겨지고 아랫쪽엔 유격현상ㄸㅐ문인지 모르겠는데 뜯어질려 하네요,0,
93,21.04.24.,2,모델: 1.에어팟 1／2세대 / 옵션: 11-국제택배 옐로우,가격만큼이네요  ㅠㅠㅠ,0,
94,21.04.13.,2,모델: 1.에어팟 1／2세대 / 옵션: 15-콜라병,케이스 윗부분이 에어팟 본체와 잘 결합이 안되어 종종 빠지는 현상이 보임.,0,
95,21.04.01.,2,모델: 1.에어팟 1／2세대 / 옵션: 10-국제택배 블랙,"생각보다 허접해요 ㅠㅠ 마감도 별로고 ᆢ
딱 그가격만큼이네요",0,
96,21.03.23.,2,모델: 2.에어팟 프로 / 옵션: 프로02-스피커,케이스는 귀엽긴 한데 장착을 하면 잘 안닫히고 철가루방지스티커는 붙지도 않는걸 보내주셨네요..,0,
97,21.03.06.,2,모델: 2.에어팟 프로 / 옵션: 프로01-게임기,"철가루방지 스티커는 실버가 화이트보다 이쁩니다

제일 기대했던 케이스가 하자있는게 와서 기분이 안좋네요
외관상 눈에띄게 색이 다른게 있는데 확인도안하시나봐요",0,
98,21.03.02.,2,모델: 1.에어팟 1／2세대 / 옵션: 11-국제택배 옐로우,그럭저럭  괜찮아요,1,#
99,21.03.02.,2,모델: 2.에어팟 프로 / 옵션: 프로03-화이트스피커,"흠....
외관 스크러치때문에 케이스를 구매했는데
안쪽으로 burr가 있어서..씌워도 스크러치날것같고 뚜껑 열리는 뒷부분은 왜 오픈이 되있는지 모르겟고 그래서 뚜껑이 자꾸 탈각되여 ㅋㅋㅋ
열리는는것도 애가 무거워서..ㅋ
그냥 기본을 사는게 맞나봐욤~",0,
100,21.02.28.,2,모델: 1.에어팟 1／2세대 / 옵션: 19-오렌지탄산＋키링,"젤종류인줄알았는데 플라스틱이었어요
그래도 아이가 좋아해요",0,
101,21.02.21.,2,모델: 1.에어팟 1／2세대 / 옵션: 19-오렌지탄산＋키링,약간불량이긴한데가격대비좋음,0,
102,21.02.15.,2,모델: 2.에어팟 프로 / 옵션: 프로05-국제택배 블랙,완전 싸구려소재임 좀 더주고 다른거사시는게 날것같아요~,0,
103,21.02.08.,2,모델: 2.에어팟 프로 / 옵션: 프로02-스피커,너무 묵직해서  불편한지 며칠 끼고다니더니 빼버렸네요.ㅠㅠ,0,
104,21.02.04.,2,모델: 2.에어팟 프로 / 옵션: 프로11-국제택배 블랙,"색상이 너무 달라요
화면에 속지말아요",0,
105,21.01.17.,2,모델: 1.에어팟 1／2세대 / 옵션: 01-게임기,귀엽고 퀄리티도 나름 근데 빡빡함 힘들었음,0,
106,21.01.12.,2,모델: 2.에어팟 프로 / 옵션: 프로02-스피커,"별로예요 벽돌같음 너무 커서 안쓸려구요 
사은품으로 온 시바는 귀엽긴 한데 뚜껑부분 자꾸 분리...",0,
107,21.01.05.,2,모델: 2.에어팟 프로 / 옵션: 프로15-너구리,너무 무겁고 딱딱해요,0,
108,20.12.26.,2,모델: 1.에어팟 1／2세대 / 옵션: 12-우유카라멜 레드,본체가 안빠짐 ㅠㅠ 뚜껑 뿌러질까봐 못빼겠네요..,0,
109,20.12.23.,2,모델: 1.에어팟 1／2세대 / 옵션: 03-미국햄,마감이 너무 안좋아요 ㅜㅜ 걍 안쓸듯요,0,
110,20.12.16.,2,모델: 1.에어팟 1／2세대 / 옵션: 18-사이다＋키링,"상품은 괜찮은데
박스를 택배기사님인지 누가 일부러 뜯어놨더라구요",0,
111,20.12.13.,2,모델: 1.에어팟 1／2세대 / 옵션: 02-스피커,저렴한 만큼 퀄리티도 그닥.. 키링꼽는 부분이 찢어져 있었습니다. 교환하기 귀찮아서 대충쓰다 버리려구요,0,
112,20.12.11.,2,모델: 2.에어팟 프로 / 옵션: 프로26-콩돌이,상품도딱안맞고 너무싸구려티나요...,0,
113,20.12.04.,2,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,하자가 있는 제품이지만 외관상 찢어지거나 큰문제는 없습니다.,0,
114,20.11.29.,2,모델: 1.에어팟 1／2세대 / 옵션: 07-프렌치불독 블랙,이쁘긴하나 너무커요.. 에어팟을꺼낼때도 불편해요,0,
115,20.11.28.,2,모델: 1.에어팟 1／2세대 / 옵션: 16-DHL 옐로우,"스티커 마감이 잘 안돼있습니다.
칼에 긁힌 자욱이 보이는데 그대로 제품으로 보내셨네요..",0,
116,20.11.28.,2,모델: 2.에어팟 프로 / 옵션: 프로26-콩돌이,리뷰 적겠습니다 케이스 이쁘다고 큰거 사지마세요. 합 안 맞습니다. 제가 이 제품 산 이유는 2개 사면 하나 더 주고 철가루 방지 스티커 줘서입니다. 철가루 방지스티커는 부착시 위에 들립니다. 케이스는 게임기말고 퀄이 되게 별로예요. 특히 동물의 숲 너구리는 진짜 단차가 너무 심합니다. 랜덤 포카리 보냈는데 3개중 1개만 사용할겁니다. 다시 돌아가면 안 사요 이거,0,
117,20.11.28.,2,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,리뷰 적겠습니다 케이스 이쁘다고 큰거 사지마세요. 합 안 맞습니다. 제가 이 제품 산 이유는 2개 사면 하나 더 주고 철가루 방지 스티커 줘서입니다. 철가루 방지스티커는 부착시 위에 들립니다. 케이스는 게임기말고 퀄이 되게 별로예요. 특히 동물의 숲 너구리는 진짜 단차가 너무 심합니다. 랜덤 포카리 보냈는데 3개중 1개만 사용할겁니다. 다시 돌아가면 안 사요 이거,0,
118,20.11.22.,2,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,그렇게 싼것도 아니고 디자인은 참신한데 품질이 별로에요 닫으면 단차생겨요,0,
119,20.11.18.,2,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,윗 뚜껑이 잘 빠져서 불편해요,0,
120,20.07.28.,2,모델: 2.에어팟 프로 / 옵션: 프로01-닌텐도 스위치,"A버튼이 불량이네요 작동안할꺼같아요ㅜㅎ
반품안하고 쓸껀데 신경써주세요 이쁘긴이쁨니다",0,
121,20.07.10.,2,모델: 1.에어팟 1/2세대 / 옵션: 04-마샬엠프,모양은 마음에 드는데 생각했던거 보다 너무 크네요... 가지고 다니질 못해겠어요,0,
122,20.07.07.,2,모델: 1.에어팟 1/2세대 / 옵션: 01-닌텐도 스위치,왠지모르게 하얀색으로 된부분이 있지만 예뻐요,0,
123,20.06.22.,2,모델: 2.에어팟 프로 / 옵션: 프로07-프렌치불독 블랙,"너무무겁고 너무 안빠져서 바꿔끼우기힘들어요
모양은이쁜데",0,
124,20.05.16.,2,모델: 1.에어팟 1/2세대 / 옵션: 01-닌텐도 스위치,"선물용으로 샀는데 스크레치가 있네요ㅠㅠ 확인해주시고 보내주셨으면 좋았을걸,,,교환하기는 귀찮아서 그냥 쓰기로 했어요.",0,
125,23.04.11.,3,모델: 프로/프로2 / 옵션: 프로01-마샬,그냥 기본 쓰는게 제일 좋은듯합니다....ㅎㅎ;;,0,
126,23.03.27.,3,모델: NEW 에어팟3세대 / 옵션: 56-밀크티,"저혐한가격이지만…
사이로 먼지 다들어가눈구조 흑 ㅠㅠ",0,
127,23.03.22.,3,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,조아요 조아요 조어요,1,
128,23.03.12.,3,모델: 프로/프로2 / 옵션: 프로08-상어,예쁘고 좋아요 단점은 잘안빠져요,0,
129,23.02.24.,3,모델: 에어팟 프로/프로2 / 옵션: 프로24-조이패드 블랙,"이뻐서 좋긴한데 에어팟프로 불빛표시도 못보고 무엇보다 너무 뻑뻑합니다..어떻게 빼야할지
걱정될 정도임.  싸서 산맛도 있지만 다음부터는 구매하면 안될거 같네요.",0,
130,23.02.04.,3,모델: 프로/프로2 / 옵션: 프로02-닌텐도,하나 더 준건 고맙지만 솔직히 퀄리티가 너무 별로네요..,0,
131,23.02.03.,3,모델: 프로/프로2 / 옵션: 프로01-마샬,괜찮아요! 귀요미!,1,
132,22.12.29.,3,모델: 프로/프로2 / 옵션: 프로46-퍼플(프로2),케이스 잘받았습니다. 퍼플색은 조금 작아요 ㅠㅠ,0,
