,category,catlink,itemlink,itemname
78,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8013211707,톡댓그립톡 캔디 코튼 웨이브 미러 그립톡 일체형 아이폰 케이스
79,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8013142859,톡댓그립톡 럭키 구름 카메라풀커버 실리콘 젤리 아이폰 에어팟 케이스
80,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8007297066,톡댓그립톡 사랑스러운 하트 토끼 베어 카메라풀커버 아이폰 케이스
81,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8007292622,톡댓그립톡 귀여운 바니 토끼 카메라풀커버 아이폰 케이스
82,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7934883863,톡댓그립톡 그라디언트 그라데이션 카메라 풀커버 카드수납 방탄 젤리 케이스 / 아이폰 갤럭시
83,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7934754880,톡댓그립톡 슈퍼방탄 변색방지 카드수납 카메라 풀커버 소프트 젤리 투명 갤럭시 아이폰 케이스
84,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7922714359,톡댓그립톡 하이틴 xoxo 다이어리 블링블링 글리터 아이폰 갤럭시 케이스
85,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7921446018,톡댓그립톡 Z플립4 플라워 스마일 이모지 케이스
86,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7920651509,톡댓그립톡 Z플립 힌지 가드 귀여운 냐미 커플 투명 케이스 포크 거치대 포함
87,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908245556,톡댓그립톡 귀여운 타마고 다이노 공룡 카메라 풀커버 아이폰 케이스
88,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908225437,톡댓그립톡 사랑스러운 로맨틱 커플 강아지 카메라 풀커버 케이스 아이폰
89,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908205660,톡댓그립톡 상큼한 애플 민트 토끼와 곰돌이 카메라 풀커버 아이폰 케이스
90,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908171302,톡댓그립톡 귀여운 강아지 말티 카메라 풀커버 아이폰 케이스
91,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908158941,톡댓그립톡 귀여운 도토리와 고양이 카메라 풀커버 아이폰 케이스
92,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908146357,톡댓그립톡 귀여운 양말 속 곰돌이 카메라 풀커버 아이폰 케이스
93,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264146485,톡댓그립톡 폭신폭신 귀여운 리본 털 토끼 열쇠고리 키홀더 키링
94,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264032896,톡댓그립톡 폭신폭신 귀여운 하트 폼폼이 솜털 열쇠고리 키링
95,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8230754523,톡댓그립톡 베네치아 열쇠고리 에어팟 갤럭시버즈 키링
96,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8230683006,톡댓그립톡 아기천사 열쇠고리 에어팟 갤럭시버즈 키링
97,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8108899586,[무배] 톡댓그립톡 복실복실 부들부들 귀여운 강아지 바둑이 인형 키홀더 키링
98,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7983928870,톡댓그립톡 뽀글뽀글 귀여운 푸들 구름이 강아지 인형 키홀더 키링
99,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7973454644,톡댓그립톡 귀여운 코스튬 테디베어 에어팟 케이스 스마트폰 가방 키링
100,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7970501679,톡댓그립톡 산리오 키링 시나모롤 마이멜로디 쿠로미 헬로키티 폼폼푸린 모찌 인형
101,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7958197180,톡댓그립톡 키치한 하이틴 볼터치 애착 인형 토끼 래빗 키링
102,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7958071886,톡댓그립톡 키치한 하이틴 볼터치 애착 인형 테디베어 키링
103,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8205344796,톡댓그립톡 귀여운 초코 곰돌이 에어팟 케이스 키링 세트
104,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8013142859,톡댓그립톡 럭키 구름 카메라풀커버 실리콘 젤리 아이폰 에어팟 케이스
105,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8007479192,톡댓그립톡 에어팟 투명 클리어 젤리 실리콘 케이스 카라비너 포함
106,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7984513181,톡댓그립톡 로마네 도낫도낫 베어 밀크티 초코 베리 에어팟프로 케이스
107,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7967394026,톡댓그립톡 귀여운 몽몽 강아지 에어팟 실리콘 케이스 1/2세대 프로
108,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7966535108,톡댓그립톡 진주 플라워 베어 키링 에어팟 케이스 1.2세대 프로 3세대
109,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7959168404,톡댓그립톡 에어팟 체커보드 보더체크 바둑무늬 케이스
110,POUCH,https://smartstore.naver.com/talk_that_griptok/category/6489e4328de9460dbbd35774e16cbe03?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8114166758,[무배] 톡댓그립톡 귀여운 피넛 인형 펜슬 케이스 파우치
111,POUCH,https://smartstore.naver.com/talk_that_griptok/category/6489e4328de9460dbbd35774e16cbe03?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8114090699,[무배] 톡댓그립톡 귀여운 가을 뽀글이 곰돌이 테디베어 펜슬 케이스 파우치
112,POUCH,https://smartstore.naver.com/talk_that_griptok/category/6489e4328de9460dbbd35774e16cbe03?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8114007485,[무배] 톡댓그립톡 귀여운 부드러운 동물 애니멀 캐릭터 퍼 파우치
113,POUCH,https://smartstore.naver.com/talk_that_griptok/category/6489e4328de9460dbbd35774e16cbe03?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8113916017,[무배] 톡댓그립톡 귀여운 부드러운 비비드 컬러 퍼 파우치
114,POUCH,https://smartstore.naver.com/talk_that_griptok/category/6489e4328de9460dbbd35774e16cbe03?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8113767108,[무배] 톡댓그립톡 귀여운 동물 뽀글이 퍼 곰돌이 테디베어 파우치
