,기입날짜,별점,옵션,후기,sentiment,
16,21.01.20.,1,"삼각티백 종류 선택: 01.호박팥차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","저 솔직히ㅡ이번에는 실망이예요
제가 여기서만 호박팥차 100개 짜리로 5번째 시키는데 그 전에는 보내주신 텀블러에 우리면 정말 진~~~~하게 나오는데 이번에는 흐리멍텅하고 정말 연하게 우러나오네요
이번에는 믿고 200개씩 샀는데 저번에는 배송비도 무료이고 진해서 좋았는데 이번부터 배송비도 추가되고....아무쪼록 별로 기분은 안좋네요
다른 100개짜리 티백도 이만큼 연하면 먹는 맛 하나도 안날거 같아요
향도 잘 안나고 맹물맛 납니다....믿고 계속 시켰는데 좀 마니 실망이메요",0,
17,20.12.25.,1,"삼각티백 종류 선택: 01.계피차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요",계피향만 조금나고 계피 티백을 2개를 넣어도 맛도 안나네요. ㅠ,0,
18,20.11.17.,1,"해피테라스: 15.작두콩차 100티백
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요",작두콩차 너무 싱거워요 잘우러나오지도 않고 3개씩 넣어먹어도 밋밋해요,0,
19,20.11.14.,1,"해피테라스: 19 호박팥차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",재가 생각했던 맛이 아니였어요,0,
20,20.11.07.,1,"해피테라스: 15.작두콩차 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송이 정말...배송 때문에 다음부터 안 시킬래요,0,
21,20.09.19.,1,"해피테라스: 08.생강차 10티백x5개
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요","생강을 좋아해서 생강 샀는데 이게 생강찬지 둥글레찬지 녹찬지 나무맛찬지
아무맛이 안 나요. 뜨거운 물에 티백 2개를 10분을 우려도 맛이 안나요
나무맛이 납니다.... 생강은 절대비추 
저희 4살 아들도 꿀떡꿀떡 마시는 알싸한 맛 1도 없습니다",0,
22,20.09.18.,1,"해피테라스: 20 호박팥차 10티백X5개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",호박팥차 다른브랜드꺼 먹고있다가 여기그 후기그 좋길래 시켜봤더니 전혀 호박팥차맛이 안납니다 보리차? 우엉차? 같은 맛만나네요 티백이 잘 우러나온다해서 사봤는데 색은 연갈색? 우엉차같은 색이 나네요 전에 시켜먹던 호박팥차는 노란빛색이 났었습니다.,0,
23,20.06.25.,1,"해피테라스: 19 호박팥차 100티백
맛 만족도맛 없어요유통기한임박상품이에요포장별로예요",완전짜증나요 트라이탄물병 다연히주는건지알앗는데없네요?아 ㅡㅡ 짜증나아씨 배송란에써야준대아씨 ㅡㅡ개기분나빠요 당연히주는줄알았죠 ㅡㅡ,0,
24,20.06.17.,1,"해피테라스: 21 호박차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장별로예요",너무약하게 우러나요,0,
25,20.06.03.,1,"해피테라스: 17.호박팥차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요","두번째구매였어요~
맛이 괜찮아서 재구매했는데 지난번과 우러나는게 달라서 문의하니, 로스팅이 바꼈다 어쩐다 해서 교환받았습니다.

제품 품질이 바뀐것도 이해가 안갔고, 내용물 양도 확연히 줄었구요.

그동안 늘 상온 물로 우렸었는데, 전화문의했을때 뜨거운물로 우리는거에 적당하다고 해서 생각난김에 뜨거운물에 우렸구요

참고로 사진속에꺼 ㅎㅎ 
끓는물에 2개 넣었어유

첫구매시 500미리 상온 생수병에 넣었을때 색깔의 반에 반도 안되네요

처음 구매했을때 너무 좋았고 주변에 추천도 많이 했는데, 재구매한 지인들 반응도 다 같아서 제가 괜히 다 미안해집니다",0,
26,20.05.26.,1,"해피테라스: 17.호박팥차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장꼼꼼해요",원래먹던호박팥차가있는데 몇군데꺼먹어봤는데 다맛이비슷했어요 호박맛도나고팥맛도나고 근데이건진짜아니네요~그냥녹차맛이나요~이거잘못된거아닌가요~제품속여서 팔면안되죠~,0,
27,20.05.11.,1,"해피테라스: 17.호박팥차 100티백
맛 만족도평범해요유통기한꽤 남았어요포장별로예요",배송상태 최악이네요 6일에 주문해서 11일에 받았고!!!!! 상자 다터지고 보틀박스 다 망가지고-.- 차한번 받기도 힘들고 받고도 짱나고.최악입니다 진심,0,
28,20.03.19.,1,"해피테라스: 07.생강차 100티백
맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요","너무맛없어요, 티백세개 넣어도 맹탕이에요",0,
29,20.03.14.,1,"해피테라스: 17.호박팥차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장별로예요",여우티 생각하고 구매했는데 넘 맛없어요 ㅠㅠ,0,
30,20.02.08.,1,"해피테라스: 18.호박팥차 10티백X5개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","티백 내용물이 너무적어요
1번울어서 먹고 다음 우러나올꺼가없네요",0,
31,20.01.30.,1,"해피테라스: 16.작두콩차 10티백x5개
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",왜이런상품팔아요?물 200cc에 티백한개우려도아주연한색..티백주머니만크고 티는쬐끔..호박팥차랑 작두콩깍지 돈아까워서 먹고는잇는데 솔직히 버리고싶기도하네요,0,
32,20.01.29.,1,"해피테라스: 17.호박팥차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장별로예요","고소하지도앓고
팥맛도 전혀안나요",0,
33,23.03.27.,2,"삼각티백 종류 선택: 오미자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요",생각했던거보다 제 스탈이 아니네요ㅜㅜ,0,
34,23.02.20.,2,"삼각티백 종류 선택: 작약차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요","우러나질  않아요
음ᆢ 재구매의사는 없네요",0,
35,23.02.15.,2,"삼각티백 종류 선택: 차가버섯차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송이 빠릅니다 배송이 빠릅니다,1,
36,23.02.14.,2,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","건강에 좋을것 같아서 구매했습니다.
입맛에 맞지는 않네요.",0,
37,23.01.27.,2,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",기대했던거보다 구수한 맛이 좀 덜합니다,0,
38,23.01.13.,2,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요","저만 이상한건지 바나바잎차는 구수한맛전혀없고 우린물에 기름이 뜨며 맛도 기름냄새가 나요ㅜ
맛은 그렇다쳐도 기름이 뜨는건 뭔지 ???",0,
39,23.01.05.,2,"삼각티백 종류 선택: 둥굴레차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요",둥굴레 맛이 구수  하지도  않고 그냥  그래요,0,
40,22.12.30.,2,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",오배송..빼고는 좋아요,0,
41,22.12.21.,2,"삼각티백 종류 선택: 오미자차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",생각보다 양이 더 적게 들어있네요ㅠㅠ,0,
42,22.12.21.,2,"삼각티백 종류 선택: 차가버섯차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",양아 생각보다 더 적게 들어있네요 ㅠㅠ,0,
43,22.12.21.,2,"삼각티백 종류 선택: 결명자차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",양이 생각보다 더 적게 들어있네요 ㅠㅠ,0,
44,22.11.23.,2,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 10티백X5개
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요",목에 좋을 것 같아서 구입했는데 수시로 보기에는 괜찮은거 같아요 이 제품도 다시 구매할 것 같아요 잘 먹겠습니다,1,
45,22.11.10.,2,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요","5종류 구매
잘 마시겠습니다",1,
46,22.08.29.,2,"삼각티백 종류 선택: 18. 여주차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",간편해서 계속 먹고 있어요,1,
47,22.06.10.,2,"삼각티백 종류 선택: 25.둥굴레차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요","평범해요
마트 둥글레가 더 맛있는듯",0,
48,22.05.17.,2,"삼각티백 종류 선택: 26.유기농 작두콩차 / 삼각티백 구성 선택: 25티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","한팩량이 적어서 잘 우러나지 않아요~
약간 매운?느낌이 있어요~",0,
49,22.03.19.,2,"삼각티백 종류 선택: 02. 호박팥차 티백 1.5g / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",뭐니뭐니해도 맛이 별로에요 ㅎㅎ,0,
50,22.02.20.,2,"삼각티백 종류 선택: 02. 호박팥차 티백 1.5g / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",다른데 제품에 비해 전 쏘쏘임,0,
51,22.01.05.,2,"삼각티백 종류 선택: 10. 계피차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장별로예요","향도 맛도 너무약해요
좀더 찐한맛을 원하는데요 ㅠ",0,
52,21.11.25.,2,"삼각티백 종류 선택: 06. 배도라지차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",너무 연해서 맛이 잘 안느껴쟈요,0,
53,21.11.17.,2,"삼각티백 종류 선택: 10. 계피차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요","계피차를 주문했습니다.
향기는 수정과 향기를 맡는것 같아서 너무 좋았습니다.
그런데 맛은...
거의 맹탕입니다.
10분간 우려도.
이렇게 맛이 없을줄은...",0,
54,21.10.06.,2,"삼각티백 종류 선택: 01.호박팥차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요","지난번 주문 건과 확연히 다르게 우렸을 때 연했습니다.
뜯지 않은 상품만 교환해주셔서 다시 받아보니 그건 또 지난번 주문건과 비슷하게 진하네요
문제 없다고 하셨는데, 앞으로는 맛을 일정하게 유지해주셨으면 좋겠습니다",0,
55,21.10.05.,2,"삼각티백 종류 선택: 01.호박팥차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",맛은있지만 너무 연해서 아쉬움.,0,
56,21.10.05.,2,"삼각티백 종류 선택: 02.호박차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요","너무 연해요 ,, 예전에 다른데서 시켜먹었었던 기억이있어서 그런지 이건 작은텀블러에 한번 우려나고 끝이네용",0,
57,21.09.30.,2,"삼각티백 종류 선택: 09 계피차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도맛 없어요유통기한꽤 남았어요포장꼼꼼해요","계피가 너~무 적게들어서
보통크기 머그잔에  티백4개 넣어
우려먹어도 계피맛인지  모르겄어요
실망스럽네요",0,
58,21.06.12.,2,"삼각티백 종류 선택: 05.배도라지차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",아빠한테 보내드렸는데 밍밍하고 맛이 하나도 없다고 하셔서 실망했습니다.,0,
59,21.02.24.,2,"삼각티백 종류 선택: 02.호박차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장별로예요맛 만족도맛있어요","티백 뜯긴게 간혹있어요ㅠㅠ 지금까지 3~4개정도 나온거같아요
그게 넘 아쉽네요ㅠㅠ",0,
60,21.02.07.,2,"삼각티백 종류 선택: 08.생강차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",향도 그리 깊지않고 생각보다 맛이없네요...;,0,
61,21.01.19.,2,"삼각티백 종류 선택: 03.작두콩깍지차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요","작두콩을 사다 우려마신적이 있는데..
티백은 처음이에요
정말 찻잔 딱 한잔용인가보네요
이렇게 적게 들었을줄이야..
구수한 커피 느낌이었는데 
티백은 많이 흐리고 .. 맛이 별로에요
한번에 여러개 우려서 마셔야겠어요",0,
62,21.01.13.,2,"삼각티백 종류 선택: 05.배도라지차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",제품하자라서 반품신청합니다,0,
63,21.01.04.,2,"삼각티백 종류 선택: 10 호박팥차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",늘먹던 제품인데 요번에는 잘 우려나지 않네요 맛도 밋밋하고 향도 진하지않아 별로예요,0,
64,21.01.02.,2,"해피테라스: 02.계피차 10티백x5개
맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요",안 먹고 있어서 모르겠습니다 ㅜㅜ,0,#
65,20.11.01.,2,"해피테라스: 08.생강차 10티백x5개
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요","그 때 사고 한번도 안 마셨어요. 너무 맛이없어서 진짜 후회했네요 다른거 살껄...
생강 좋아해서 샀는데 나무 껍질 맛이 납니다",0,
66,20.10.23.,2,"해피테라스: 27 노니차 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",물병 주는 척 하시더니 물병 안오고 보내달라니까 주문할때 어디다 썼어야 한다고 하는데 쓰는곳도 없고 어이가 없고 장사 이런식이면 곤란,0,
67,20.10.01.,2,"해피테라스: 08.생강차 10티백x5개
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",생강맛이 싱거을 느낌 재구매 의사는없어요,0,
68,20.09.22.,2,"해피테라스: 16.작두콩차 10티백x5개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","티백에 맛이  너무 연하고 들어있는 작두콩도
양 작아서 맛이 안느껴집니다ㅜㅜ",0,
69,20.07.21.,2,"해피테라스: 25 해죽순차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",해죽순이 저렴한 줄기제품이에요.꽃대차가 아니네요.,0,#
70,20.06.29.,2,"해피테라스: 01.계피차 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","계피양이 적은건지 
같이 주문한 500ml보틀에
두개나 넣었는데도 제대로
우려지질않네요
그냥 끓여서 마셔야될듯해요",0,
71,20.05.24.,2,"해피테라스: 01.계피차 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",잘안우러나요ㅡㅡ 그냥 물에 계피향조금 나는듯한 물색변화도없고 다시는 주문안할꺼같아요 그리고 텀블러 사은품인줄알았는데 저만못받은건가요?,0,
72,20.05.11.,2,"해피테라스: 02.계피차 10티백x5개
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요","맛이 정마루약해요...
네개 다섯개씩 넣어서 먹었답니다.",0,
73,20.03.31.,2,"해피테라스: 17.호박팥차 100티백
맛 만족도평범해요유통기한임박상품이에요포장별로예요","아니 100티백을 시켰는더
보틀병달라고 안썻다고 병을 안보내주는게
말이되나요?
왜 100티백 시켯겠어요?
상식제으로 
기분별로네요",0,
74,20.03.24.,2,"해피테라스: 17.호박팥차 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",구수하고 포만감도 조금 있는 것 같아요,1,
75,20.03.12.,2,"해피테라스: 17.호박팥차 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",진자 너무햅 ㅜㅜ 나 계피 시러하는뎁 ㅜㅜ 보틀 까먹고 달라 안해서 사러가야집 ㅜㅜ,0,
76,20.03.06.,2,"해피테라스: 17.호박팥차 100티백
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요","잘 안우러나요 찬물엔 안우러나나요?... ㅠㅠ 
얼음물아니고 그냥 생수인데 잘 안우러나네염.....괜히 백개짜리삼 ㅜ 재구매 안할듯",0,
77,20.02.14.,2,"해피테라스: 17.호박팥차 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","다른회사 여우티는 찬물에도 잘우려나는데
여기껀 잘우려나지도 않네요 ㅜㅜㅜ",0,
78,23.04.14.,3,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",커피보다 좋다는 생각으로 마셔요.,1,
79,23.04.10.,3,"삼각티백 종류 선택: 야관문차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장별로예요맛 만족도맛있어요",티배 종이땔때 자꾸 망이 같이 때지는게많네요,0,
80,23.04.05.,3,"삼각티백 종류 선택: 자스민차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",자스민향을 좋아하는데 향이 거의 느껴지지 않는것 같아요 제 코가 이상한가.. 좀 아쉽습니다,0,
81,23.03.30.,3,"삼각티백 종류 선택: 작약차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",배송빠르고 제품도 좋아요. 근데 싱거워요. 2개를 내려도,0,
82,23.03.30.,3,"삼각티백 종류 선택: 대추차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",배송빠르고 제품도 좋아요.다만 싱거워요,0,
83,23.03.29.,3,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",양도 많고 아직도 잘 먹고있습니다,1,
84,23.03.24.,3,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요","비염때문에 주문했는데 아이가 안먹어요 ㅠㅜ
그냥 어른들이먹고있어요~
포장도 이쁘고 먹기도 간편한데 아이가안먹다니 어쩔수없쥬~ 다른건 다 좋아요",0,
85,23.03.22.,3,"삼각티백 종류 선택: 현미차 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요","현미차가 몸에 좋다고 해서 주문했지요
생각보다 맛이 너무 약해서 조금 아쉬웠어요
그래도 2~3개씩 우려 먹으면 괜찮아요
다음엔 다른 차로 한번 주문 해보려합니다",0,
86,23.03.16.,3,"삼각티백 종류 선택: 결명자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",좋아요 잘 먹고 있습니다.,1,
87,23.03.16.,3,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","좋아요, 꾸준히 잘먹고 있습니다.",1,
88,23.03.16.,3,"삼각티백 종류 선택: 현미차 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",구수하고  좋아요  감사합니다,1,
89,23.03.13.,3,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요",비염에 좋다고 해서 선물했어요!,1,
90,23.03.10.,3,"삼각티백 종류 선택: 여주차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","혈당을  조절하는데  좋다고해서  자색돼지감자차랑 같이주문했어요
근데 자색돼지감자차가 실망스럽다보니  같이주문한 이것도 영.....믿음이 안가네요.ㅠㅠ
리뷰보고  샀는데  조금 실망스럽네요..",0,
91,23.03.10.,3,"삼각티백 종류 선택: 유기농 자색돼지감자차 / 삼각티백 구성 선택: 25티백
맛 만족도평범해요유통기한임박상품이에요포장적당해요","유통기간이 제조일로30개월이린고  적혀있지만 왠지  찝찝하네요
제조한지 1년전 제품이 왔어요.
그만큼 판매가  안됀다는 뜻이겠죠!
것도 유기농인데 ㅠㅠ
암튼  실망스럽습니다",0,
92,23.03.09.,3,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요","포장, 맛, 삼각티백 만족했는데 꽃이 다 깨져있어서 티백밖으로 다 나와요~ 깨끗한 티를 좋아하는 저는 별루네요~
예전에 구매했을때는 이러지않았던거 같은데~ 재구매는 안할듯요~
맛은 괜찮아요",0,
93,23.03.08.,3,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",평범. 그냥 가볍게 입가심정도~,1,
