,Unnamed: 0,기입날짜,별점,옵션,후기
177,177,22.12.18.,5,배열: 풀배열(104키) / 디자인: 투명,투명사고싶었는데 재고가 없어서 블랙으로.. 마음에 들어요
178,178,22.12.18.,5,배열: 텐키리스(87키) / 디자인: 블랙,"사이즈 잴 필요없어서 좋았습니다
텐키리스랑 풀배열 두가지 샀는데 레오폴드 풀배열에도 잘 맞습니다"
179,179,22.12.17.,5,배열: 텐키리스(87키) / 디자인: 블랙,레이저 헌츠맨 텐키에 딱 맞습니다
180,180,22.11.11.,5,배열: 텐키리스(87키) / 디자인: 투명,제 키보드 사이즈보다 살짝 크긴하지만 가격대비 가성비는 되게 좋은 것 같습니다.
181,181,22.11.11.,5,배열: 포커배열 / 디자인: 포커배열용,"레이저 헌츠맨 미니에 덮을 커버 찾다 구매 했는데 

정말 딱 맞습니다. 깔끔하고 좋네요"
182,182,22.11.11.,5,배열: 리얼포스 / 디자인: 87키/투명,"두번째 구매입니다
구매해서 선물로 줬는데 만족합니다"
183,183,22.11.11.,5,배열: 풀배열(104키) / 디자인: ★블랙,고급스러워요 키보드가 전체가 덮이진 않구 딱 키캡들만 다 가려집니다
184,184,22.11.10.,5,배열: 풀배열(104키) / 디자인: 투명,배송 하루만에오고 ck420에 잘맞네요 굿
185,185,22.11.10.,5,배열: 포커배열 / 디자인: 포커배열용,이로써 키보드 먼지낄 일은 별루 없겠네요
186,186,22.11.10.,5,배열: 텐키리스(87키) / 디자인: 투명,먼지안들어가고 안에 키보드가 잘보여서 미관상 좋아요. 플라스틱이 꽤 두껍습니다.
187,187,22.11.09.,5,배열: 텐키리스(87키) / 디자인: ★블랙,키보드먼지안쌓여서 너무 깨끄해요
188,188,22.11.09.,5,배열: FC660 / 디자인: 투명,"하이퍼엑스 알로이 오리진 65에 fc660 샀는데 살짝 큽니다 
가로로 더 차이 나지만 이정도면 만족합니다
같이 준 고무를 위쪽에 끼면 흔들림 없어져서 좋아요
포장 정성스럽게 해주셨어요
배송 빨라요
나중에 65배열용도 추가됐으면 좋겠습니다"
189,189,22.11.09.,5,배열: 텐키리스(87키) / 디자인: 투명,레이저 헌츠맨 v2 키보드에 잘 맞아요
190,190,22.11.09.,5,배열: 풀배열(104키) / 디자인: 투명,토체프 키보드에 잘 맞아요
191,191,22.11.09.,5,배열: 풀배열(104키) / 디자인: 투명,"키보드 덮개를 처음 구매해보는데, 일단 외관상 깔끔해서 보기 좋습니다. 덕분에 책상이 더 깔끔해보이네요.

같이 구성된 실리콘도 사용자에 맞춰 자를 수 있는 게 좋은 것 같습니다. 키보드 위에서 미끄럼방지도 되고 원하는 부분에 부담없이 사용할 수 있어 좋아요.

저렴한 가격에 포장 퀄리티가 높아서 좋았습니다. 
만약 상품이 파손된다면 다음에도 재구매 하겠습니다."
192,192,22.11.09.,5,배열: 풀배열(104키) / 디자인: 투명,"키보드는 커세어 K70 RGB PRO입니다.
팜레스트 끼고 있지만 호환성에 문제는 없고 밑쪽이 약간 뜨는 정도, 팜레스트 빼면 완전하게 장착 가능합니다.

안전에 신경쓴 정성스런 포장과 본품의 깔끔한 마감처리는 더 이상의 할 말을 잃게 만들었습니다. 더 할 말이 없군요."
193,193,22.11.09.,5,배열: 풀배열(104키) / 디자인: 투명,키보드에 먼지 쌓이는걸 이렇게 할수 있다는걸 뒤늦게 알앗는데 너무 좋아요
194,194,22.11.09.,5,배열: 텐키리스(87키) / 디자인: 투명,"원래도 잘쓰던제품
재 구매합니다.

87키에 딱맞음"
195,195,22.11.08.,5,배열: 텐키리스(87키) / 디자인: 투명,딱 맞아요..깔끔하니 좋네요. 배송도 빠르고 뽁뽁이도 2단으로..좋아요
196,196,22.11.08.,5,배열: 리얼포스 / 디자인: 87키/투명,예쁘고 저렴하고 실용적임다
197,197,22.11.07.,5,배열: 리얼포스 / 디자인: 87키/투명,다른 사림들이 어디서 샀나고 부러워합니다
198,198,22.11.07.,5,배열: 포커배열 / 디자인: 포커배열용,주문제작을 맡기려다가 우연히 블로그 글 통해서 알게됐는데 비틀림이나 스크래치 없이 잘 왔고 포커배열 앤프로2에 잘 맞습니다 너무 만족해요
199,199,22.11.07.,5,배열: 텐키리스(87키) / 디자인: 투명,제품은 만족스러운데 제가 덮는 걸 계속 까먹네요ㅠ 구매한 의미가 있도록 잘 사용해보겠습니다:)
0,0,23.03.14.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),저적이라 조용하고 진짜진짜 예쁩니다
1,1,23.03.06.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),여태 써본 키보드 중에 최고예요 울림도 적고 소리도 덜 나고 부드럽고
2,2,23.01.15.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),퍼플 진짜 예쁘고 키감도 좋아요
3,3,22.12.28.,5,색상: 퍼플러(87키) / 스위치: 게이트론 저소음갈축(45g),"소리도 덜나고 색깔이 정말 예쁩니다
키감도 좋아요"
4,4,22.12.20.,5,색상: 퍼플러(87키) / 스위치: 게이트론 저소음갈축(45g),"진짜최고의 타건감 입니다. 저소음 갈축 사용중이구요. 이전에 쓰던 무접점, 저소음 적축, 갈축 다 쳐박아두고 안쓰고 현재 엠스톤 저소음 갈축만 이용중입다 대대대만족"
5,5,22.12.15.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),잘쓰고 있습니다 .
6,6,22.12.13.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),불만 없이 잘 쓰고 있습니다.
7,7,22.12.03.,5,색상: 라이트그레이(87키) / 스위치: 게이트론 저소음갈축(45g),개좋아요 게저갈 사용중인데 조용하고 소리도 좋음 부드럽고
8,8,22.12.01.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),너무좋습니다ㅎㅎ 키감도좋고 asmr도 좋아요
9,9,22.11.28.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),104키 없어서 아쉬운대로 샀는데 만족해요 ㅠㅠ 왜 품절인지 알겠어요
10,10,22.11.27.,5,색상: 블루블랙(87키) / 스위치: 코랄축(45g),"전반적으로 만족하는 제품이고 다른 분들께도 엄청 추천하는 제품이고 타건감도 너무 좋아서 잘 쓰고 있습니다만 단점 몇개만 작성하겠습니다. 

1. 소리가 생각보다 커서 사무실에서 쓰기 조금 눈치보입니다. 옆자리 뒷자리분은 신경쓰이실 것 같습니다.
2. 풀윤활이라 그런지 냄새가 너무심합니다. 퇴근 후 집에왔는데도 방안에서 냄새가 진동을 해서 머리가 아프네요.

전반적으로 제품에는 만족합니다만 상품 주문 시 고려하시면 좋을 것 같습니다."
11,11,22.11.27.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g),만족하면서 사용중입니다~
12,12,22.11.25.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),키캡 바꿔서 잘 사용 중. 만족함.
13,13,22.11.25.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),"청축사용하다 구매했습니다.
소리가 거의 안나서 매우 좋습니다.
하자가 있다면 옵션에 아크릴덮개의 모서리가 각져서 조금 위험할수도 있을것 같습니다.
스페이스바도 다른 키들보다 조금 뻑뻑한 느낌이 납니다.
그리고 이건 저의 실수입니다만 저는 오른쪽에 숫자패드가 있는 107~108키 키보드를 생각하고 주문했는데 이 87키는 없는거더라구요
그래서 지금 굉장히 어색합니다 ㅋㅋ
숫자패드 있는것도 판매중인것 같으니 다른분들은 주의해서 구매하시기 바랍니다."
14,14,22.11.23.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),조아요      조아
15,15,22.11.23.,5,색상: 퍼플러(87키) / 스위치: 게이트론 저소음갈축(45g),너무 좋아요... 타건감 최고.... 일할때 신나요 사무실에서도 조용해요
16,16,22.11.19.,5,색상: 퍼플러(87키) / 스위치: 코랄축(38g),생각보다 소리가 너무좋네요..
17,17,22.11.17.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g)/LED없음,너무 만족합니다.. 가끔 너무 잘눌려서 다른키가 같이 눌려버리는게 단점..
18,18,22.11.16.,5,배열: 87키 / 색상: 블루블랙 / 스위치: 적축(45g),진짜 역대 사용했던 키보드중에 최고입니다.
19,19,22.11.15.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),.아주좋습니다 무한입력기능 아주굿
20,20,22.11.15.,5,색상: 퍼플러(87키) / 스위치: 코랄축(38g),좋어요 ㆅㆅ 타건 직접 해보고 산거라 후회는 없습니다 막상 하나사니 다른 것도 사고 싶어진다는게..ㅋ⫬ㅋ⫬ㅋ⫬
21,21,22.11.15.,5,색상: 퍼플러(87키) / 스위치: 게이트론 저소음갈축(45g),색 너무 예쁘고 조용하고 타건감도 만족
22,22,22.11.12.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),"와 키감 무엇? 일 할때 사용할려고 샀는데, 만족도 최상 입니다. 기존 적축 쓸때랑은 느낌이나 타건감이 아주 다르네요."
23,23,22.11.12.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),"여러분 개이뿐데 아직도 주문 안하셨나요? 
고민은 배송만 늦출뿐."
24,24,22.11.08.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),감사합니다 잘쓰겠습니다
25,25,22.11.08.,5,색상: 라이트그레이(87키) / 스위치: 적축(45g),너무너무어무 좋아요 ㅎㅎ
26,26,22.11.05.,5,색상: 퍼플러 / 스위치: 게이트론 저소음갈축(45g),아주마음에듭니다 감사합니다
27,27,22.11.05.,5,색상: 퍼플러(87키) / 스위치: 게이트론 저소음갈축(45g),너무예쁩니다 소리도 안나고 맘에들어요
28,28,22.11.04.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),좋은 제품입니다. 만족하면서 사용하고 있습니다.
29,29,22.10.31.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),진짜 너무 잘쓰고 있어요 저소음이라 진짜 소리가 안나서 너무 좋아요 밤마다 가족들이 시끄럽다고 했었는데 이거로 바꾼뒤로는 조용하다고 해서 진짜 너무 만족해요 뿐만아니라 키감이 엄청 가벼워서 무리가 안가서 좋더라구요 저는 거의 9시부터 6시까지 쉬지않고 타자치는편이라 키압이 너무 강하면 손가락이 너무 아퍼서 일부러 35g으로 구매한건데 진짜 너무 가벼워서 진짜 너무 만족해요
30,30,22.10.29.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),"벌써 3개째 구매했어요. 사실 상 저는 선택지가 없긴합니다. 일단 기계식이면서, 커스텀으로 키압이 낮고 그리고 저소음이어야 해요. 그러면 결국에 엠스톤 저적 35g 밖에 없네요! 하지만 상품이 너무 만족스럽습니다. 이전에 산 2개는 둘다 갈축이었거든요. 한개는 집에서 쓰고 한개는 사무실에서 쓰고 있었는데, 갈축은 어쩔 수 없이 그 경쾌한 소리가 조용한 사무실에서는 조금 신경이쓰이더라구요. 그래서 저적으로 다시 샀습니다 ㅎㅎ 한개 남은 키보드를 어떻게 처치해야할지 모르겠지만! 일단 새롭게 구매한 저적 너무 좋아요. 저적은 댐퍼가 있어서 그런지 갈축35g보다는 조금 체감적으로 키압이 더 높은 것 같기도 하네요! 일단 한번 사용해보겠습니다!"
31,31,22.10.26.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),산지는 좀 됐는데 아주 만족하고 잘 쓰고 있습니다
32,32,22.10.26.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),잘 쓰고 있어요 소리도 거의 안나고 낮은키압이라 편하게 씁니다
33,33,22.10.24.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g),정말 예쁩니다... 최고에요!! 다른 색상 하나 더 구매하고 싶네요ㅠ
34,34,22.10.21.,5,배열: 87키 / 색상: 다크그레이 / 스위치: 갈축(35g),아주 좋습니다 착차감기는기 츠 지기
35,35,22.10.19.,5,색상: 라이트그레이(87키) / 스위치: 적축(45g),좋습니다. 숫자키판도 제작해주시면 감사하겠습니다.
36,36,22.10.18.,5,색상: 퍼플러(87키) / 스위치: 갈축(35g),색깔이 너무 예쁘고 타건감이 좋아요
37,37,22.10.18.,5,배열: 87키 / 색상: 다크그레이 / 스위치: 게이트론 저소음갈축(45g),"엠스톤 키보드 몇개째인지 모를,, 믿고 씁니다"
38,38,22.10.18.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),키압 기볍고 조용해서 좋음.
39,39,22.10.17.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),"역시좋아요
게임할맛이납니당"
40,40,22.10.13.,5,배열: 87키 / 색상: 다크그레이 / 스위치: 게이트론 저소음갈축(45g),키감이 너무좋아요 극추천
41,41,22.10.10.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),투자한게 아깝지 않아요 쫀득한 키감 최고임다
42,42,22.10.09.,5,배열: 87키 / 색상: 블루블랙 / 스위치: 밀키축(45g)/LED없음,너무좋습니다 타건감 굳
43,43,22.10.08.,5,색상: 블루블랙 / 스위치: 저소음적축(45g),잘쓸게요 6번키 한번 불량 났지만 소리 좋아서 쓸만함
44,44,22.10.06.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),조아요     조아
45,45,22.10.04.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g)/LED없음,소리 좋고 타건감 좋고 최고 :)
46,46,22.10.04.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),완전 만족해요 엠스톤 굿
47,47,22.10.03.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g)/LED없음,"색감 이쁘고 제품 자체는 좋습니다 :) 

단지 제가 원하던 느낌이 아니라서 코랄축으로 재구매하였습니다 
나머지 항공케이블도 색감이 비슷해서 통일감 있어서 좋았고 팜레스트도 묵직한게 튼튼해보여서 잘 사용하고 있습니다!"
48,48,22.10.03.,5,색상: 라이트그레이(87키) / 스위치: 코랄축(38g),"퍼플러 밀키축 45g 구매하였다가 너무 밋밋하여 번개장터 보내고 코랄축 38g 구매하였습니다. 

기존에 해피해킹을 사용하다보니 비슷한 키압에 적당한 구분감을 원했는데 딱 맞는 제품이네요 :) 

구분감이 있다보나 타이핑 소음과 무게 때문에 이동할때 사용하긴 좀 애매하고 집에서 사용중입니다!"
49,49,22.10.02.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),너무 이뻐요 진짜 완전 저소음이에요 구름위에 타이핑하는느낌ㅋ 넘 이쁘고 맨질?해서 느낌겁나조움 영업하고다니고잇슴다 최고
50,50,22.10.02.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g)/LED없음,"밀키축도 궁금하긴 했는데 퍼플러 디자인이 너무 예뻐서 충동구매한 감이 큽니다만..ㅋㅋ 충동구매한 것치곤 너무 만족스럽게 사용하고 있습니다 ㅎㅎ

영상보면 손이 많이 통통해서 그렇게 안보이시겠지만..ㅎㅎ 손가락의 힘도 없는 편이고 손목 상태도 그리 좋지 않아서 키압이 높으면 오래 타건 시 좀 힘들고 불편해서 무접점이나 가벼운 리니어 타입을 선호합니다. 그래서 구매할 때 주저하지 않고 가벼운 밀키축을 구매했는데 정말 좋아요!! 

적축같은 경우는 소리가 텅텅거린다고 해야하나 타건하다보면 소리가 퍼지면서 거슬리는 느낌이었는데 밀키축은 조약돌 굴러가는 소리? 뭔가 따닥따닥하는 소리가 재밌게 느껴지지 거슬리진 않더라고요 ㅎ 
그리고 가벼운 리니어라 손에 부담이 별로 가지 않는데 느낌탓인지는 모르겠지만 미세한 반발감이 있는 것같아서 누르는 맛이 있습니다 ㅎㅎ 이건 개인차가 있을 것같으니 너무 믿진 마세요 ㅎㅎ

그리고 무엇보다 디자인이 너무 깡패입니다 !! 진짜 예뻐요ㅠㅠ 핑크색이나 하늘색으로 상판 바꾸고 다른 키캡도 끼워보고 싶은데 흰색, 다크그레이 빼곤 다 품절이네요ㅠㅠ 얼른 재입고해주세요 현기증난단 말이예요ㅠㅠ클라리온s 디자인도 예쁘던데 이제 안보이던데 10월달에 새 모델 나온다고 단종수순을 밟는 중일까요?ㅠㅠ"
51,51,22.10.01.,5,색상: 라이트그레이 / 스위치: 저소음적축(35g),디자인 만족 키감 만족 아주아주 만족스러운 쇼핑이였음
52,52,22.10.01.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),"정말 여러 키보드 다 써봤는데, 진정 최고네요.
커세어, 로지텍, 레오폴드 등 사봤는데, 이거 물건입니다. 죽여주네요. 와. 이걸 이제서야 알다니, 끝판왕입니다."
53,53,22.10.01.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),배송 빠르고 제품 완전 만족합니다! 키감이 너무 좋아요. 이런 키보드를 항상 원했습니다!
54,54,22.09.28.,5,색상: 퍼플러(87키) / 스위치: 적축(45g),"주문한 바로 몇시간 안에 배송등록 해주셨고, 바로 다음날 받을 수 있었습니다 :)

제품의 상태도 깔끔하고, 키보드 감도 너무 좋네요 ㅠ 고민을 많이 했었는데, 만족스럽습니다 ㅎ"
55,55,22.09.28.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g),첨왔을때 계속 눌러보게 되는 느낌..
56,56,22.09.27.,5,색상: 라이트그레이(87키) / 스위치: 적축(45g),"레트로한 디자인이라 맘에 듭니다
윤활 잘돼서 타건감좋아요"
57,57,22.09.26.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g)/LED없음,컬러 키압 너무 다 만족입니다100점!
58,58,22.09.25.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),막상 써보니 그렇게 취향은 아니네요 ㅎㅎ
59,59,22.09.24.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g),실제로 보니 정말 예뻐요 ㅎㅎ본체 LED 색깔이랑 깔맞춤했는데 최고입니다^^
60,60,22.09.23.,5,배열: 104키 / 색상: 블루블랙 / 스위치: 코랄축(45g),이걸 왜 이제 샀지ㅠ 키감 미쳤고요 엄마도 다른 키보드랑 확실히 다르대요 ㅋㅋㅋ
61,61,22.09.22.,5,배열: 87키 / 색상: 다크그레이 / 스위치: 게이트론 저소음갈축(45g),책상 분위기가 달라졌습니다. 제 손가락과 궁합이 아주 쫀딕하게 잘 맞습니다. 노란 포인트는 역시는 역시나입니다. 이뻐요
62,62,22.09.22.,5,배열: 104키 / 색상: 퍼플러 / 스위치: 게이트론 저소음갈축(45g),만족 만족!!! 좋아요
63,63,22.09.22.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g),3대째 구매중입니다 갈축 코랄  이번엔  밀키 구매햇네요
64,64,22.09.22.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g),배송빠르고 좋아요!
65,65,22.09.20.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),제 기준 고가의 키보드를 하나 장만했습니다. 고민 또 고민 키보드만 일주일 서칭 하다가 그 결과 엠스톤 그루브 텐키리스 저소음 적축을 사버렸습니다. 윤활한 키보드의  키감.. 말이 필요없습니다. 너무 좋아요
66,66,22.09.20.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),"원래 쓰던건 무접점 한** 35g이였는데 밤에 쓸때 가족들이 소리때문에 깰까봐 키압은 같고 저소음으로 찾다가 이번에 저적 35g을 구매하였는데요 와 너무 조용해서 좋아요
이번에 키보드 살때 제가 가장 중점을 두었던거 가벼운 키압이랑 최대한 조용한 키보드였는데 키압이 35g이라 굉장히 가볍고 (대신 스페이스바 백스페이스 요론 것들은 35g아니고 좀더 무거운 느낌이에여 ) 손가락에 무리가 안가서 좋았고 타자를 쳐도 그렇게 시끄럽지 않아서 가족들에게 방해가 안돼서 좋더라구요
그래도 파워타건 하시는분들에게는 아직도 소리가 클것같긴한데 저처럼 구름타법이신분들은 진짜 거의 소리 안들리신다고보면되요
굉장히 만족하구요 무선으로 나온다면 또 구매하고 싶네요"
67,67,22.09.19.,5,색상: 라이트그레이(87키) / 스위치: 적축(45g),"요즘 적축 특유의 도도도독 이 소리가
진짜 저랑 너무 맞는것 같아서ㅠㅠ♡

38g 구매하고 싶었는데 45g 밖에 없어서
아쉬웠어요ㅜㅜ
저한테는 살짝 키압이 느껴져서 
완전 장시간 사용하기엔 저는 손 피로도가
많이 올듯해요."
68,68,22.09.19.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),실물 보니까 이뻐요  소리도 정말 조용합니다
69,69,22.09.19.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),너무좋습니다. 소음도 너무적구요!
70,70,22.09.18.,5,배열: 104키 / 색상: 블루블랙 / 스위치: 저소음적축(35g),좋은 제품 잘쓰고 있어요
71,71,22.09.16.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),"저소음적축 샀는데, 진짜 조용해서 좋아요."
72,72,22.09.16.,5,색상: 라이트그레이(87키) / 스위치: 코랄축(45g),진짜 키보드 예술이네요 배송도 빠르고 좋네요
73,73,22.09.16.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),색도 이쁘고 타겨감도좋아용
74,74,22.09.15.,5,색상: 라이트그레이(87키) / 스위치: 적축(45g),정숙하고 키감 너무 맘에 들어요
75,75,22.09.15.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),아주좋아요 배송도빠르게왔네요
76,76,22.09.15.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),"쓰던 바밀로 키보드가 있지만 저적35g으로 바꾸려 구매했습니다.
포인트 키캡 냥이는 잘 맞지만.. 스페이스바가 규격이 조금 다른지 기존에 쓰던 스페이스바에서는 잘잘 소리가 안 나는데 변경하고나면 녹색에서는 잘잘 소리가 나서 뺐습니다ㅠㅠ... 녹색이 마음에 들어서 샀는데 ....."
77,77,22.09.14.,5,배열: 87키 / 색상: 다크그레이 / 스위치: 저소음적축(45g),"태어나서 비싼 키보드 처음 사봅니다.
저렴한거 많은데 왜 비싼걸 굳이 생각을 했습니다.
근데 주변에서 키보드는 10만원 이상꺼 사야 한다고 해서 샀습니다.
와.. 싼거랑 촉감 키감 너무 나도 다르더군요..
3년 이상 쓸 생각으로 샀습니다"
78,78,22.09.14.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),"오랜 기간 텐키리스를 사용하다가 몇 달 전에 풀배열 구매했는데, 어색해서 다시 텐키리스로 구매했습니다
따로 퍼플러 키캡은 안 파는 것 같아서 오래 쓰고 싶어 남는 분필 키캡 끼워 사용 중입니다."
79,79,22.09.13.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(45g),저번에 코랄축 사용하고 같은색으로 저소음적축 구매했습니다 ! 마음에 드네요 ~
80,80,22.09.13.,5,색상: 퍼플러 / 스위치: 저소음적축(45g),선물로 구매했어요 받은 사람이 너무 맘애 들어하네용
81,81,22.09.10.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),클라리온 사고 싶었지만 입고 예정이 없다해서 퍼플러 샀는데 예쁘고 괜찮아요 키마다 조금 부드러움이 살짝 다르긴 한데 타자 칠 땐 잘 안 느껴져서 괜찮아요 저적35 너무 가볍다는 사람들도 있어서 고민했는데 저한텐 딱 좋아요 가볍게 치는 사람들은 만족할 것 같습니다
82,82,22.09.09.,5,색상: 라이트그레이(87키) / 스위치: 게이트론 저소음갈축(45g),키감 좋고 윤활 좋고 디자인 이쁜 완벽한 키보드
83,83,22.09.08.,5,색상: 라이트그레이(87키) / 스위치: 게이트론 저소음갈축(45g),엄청 부드럽고 아주 살짝? 걸리는 느낌 납니다 서거 거리는 느낌은 갈축 비교해서 없는거 같아요
84,84,22.09.08.,5,색상: 블루블랙(87키) / 스위치: 코랄축(45g),"블루블랙 87키 코랄축 45g 로 구매하였고
팜레스트 없이 쓰려고했는데 불편해서
일단 임시로 ""아크릴 키보드 루프""를 팜레스트 처럼 쓰려고 하는데 ""아크릴 키보드 루프""도 딱 맞고 높이도 키보드 높이 만큼 딱 맞아서 기분 좋네요

타건음이나 균형도 잘맞아서 칠맛 나는데 소리는 조금 시끄러울 수 있을 거 같습니다"
85,85,22.09.08.,5,배열: 87키 / 색상: 라이트MA / 스위치: 저소음적축(45g),좋습니다 만족합니다.
86,86,22.09.07.,5,배열: 104키 / 색상: 퍼플러 / 스위치: 저소음적축(45g),사용했던 키보드 중 제일 좋아요
87,87,22.09.06.,5,색상: 라이트그레이(87키) / 스위치: 밀키축(38g)/LED없음,배송빨리해주셔서 감사하고요.비싼키보드릍 타건 안해보고 처음사서 걱정했는데 부드럽고 좋아요.
88,88,22.09.06.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g)/LED없음,전 키보드가 커세어였는데 키캡이 무슨 기름칠 한거마냥 톡톡 빠져서 바꿧는데 괜찮아요 키보드 자체는 좀 누워있는 느낌이라 좀 키캡이 좀더 위로 나와잇엇으면 하는 아쉬움이 있네요
89,89,22.09.05.,5,배열: 104키 / 색상: 퍼플러 / 스위치: 게이트론 저소음갈축(45g),잘 사용하고 있어요ㅎㅎ
90,90,22.09.05.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),키감 좋고 디자인도 마음에 들어요. 빠른 배송 감사드립니다.
91,91,22.09.05.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g)/LED없음,예뻐여ㅠㅠㅠ 가격비싸도 조아
92,92,22.09.04.,5,색상: 퍼플러(87키) / 스위치: 저소음적축(35g),"부드러운 타격감과 조용해서 아주 좋아요~
다음에 기회가 된다면 밀키축도 구매해보고 싶네요."
93,93,22.09.04.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g)/LED없음,"노트북에 키보드를 물려서 사용해야 하는 상황이 와서 이 제품을 구입하게 되었습니다. 많은 유튜브 리뷰들을 알아보며 밀키축에 매력을 느꼈고 해당 축은 제가 구입할 당시엔 색상이 퍼플러 밖에 없었던 점은 조금 아쉬웠습니다. 회색의 모노톤만 선호하는 저로서는 조금 과감한 선택이었고, 지금도 적응중입니다. 그러나 색상에 대한 거부감은 키보드를 만지자 마자 사라집니다. 기존엔 10만원 정도의 타사 기계식키보드를 사용하고 있었고 그것에 비하면 이건 신세계입니다. 윤활이란 개념조차 없던 저는 기존에 잘만 사용하고 있던 키보드에 안들리던 철심 소리가 거슬리기 시작했고 디자인이나 키감 자체에 상당히 만족하고 있습니다."
94,94,22.09.03.,5,색상: 퍼플러(87키) / 스위치: 밀키축(45g)/LED없음,"거의 두달을 기다리고 기다렸는데, 소문대로 너무 좋네요!
재입고되자마자 구입해서 출근할때 회사에서 사용하고, 주말이라 집에서 쓰고싶어서 또 데리고왔어요 ㅎㅎ 그정도로 맘에 듭니다!
색감도 너무 이쁘네요!!"
95,95,22.09.03.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),첨에 멋도모르고 청축 샀다가 너무 시끄러워서 타싸에서 4만원주고 적축 키보드 샀는데 그것도 너무 시끄러워서 스트레스 받고 있던 와중에 발견하고 하나 샀습니다 사실 가격에 비싸서 많이 고민했는데 고민한 게 아까울 정도로 너무 만족스럽습니다 영상에서는 조금 더 시끄럽게 들리는데 실제론 정말 조용해요 led모드도 있어서 너무 좋네요 그리고 키캡까지 사서 끼우니깐 진짜 너무너무 예뻐요 앞으로 즐겜하겠습니다~
96,96,22.09.03.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(35g),배송빨라 너무 좋았구요 기대이상으로 키보드도 만족스러워요 ^^
97,97,22.09.03.,5,색상: 라이트그레이(87키) / 스위치: 저소음적축(45g),스테빌 잘 잡혀있고 좋네야
98,98,22.09.02.,5,색상: 퍼플러(87키) / 스위치: 밀키축(38g)/LED없음,"저번 키보드도 밀키축 38g으로 샀다가 너무 마음에 들어

이번에도 밀키축 38g으로 또 샀는데  정말 만족합니다."
99,99,22.09.01.,5,배열: 87키 / 색상: 퍼플러 / 스위치: 게이트론 저소음갈축(45g),키보드너무좋습니다 매우만족합니다 키감말로표현할수없네여
